,week,dept,sales,IsHoliday,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,Temperature,Fuel_Price,CPI,Unemployment,Next week
286595,2010-05-02,3,1052.98,0,0.0,0.0,0.0,0.0,0.0,39.05,2.572,210.75260530000003,8.324,
286633,2010-12-02,3,983.75,1,0.0,0.0,0.0,0.0,0.0,37.77,2.548,210.8979935,8.324,
286675,2010-02-19,3,864.82,0,0.0,0.0,0.0,0.0,0.0,39.75,2.5140000000000002,210.9451605,8.324,
286728,2010-02-26,3,916.93,0,0.0,0.0,0.0,0.0,0.0,45.31,2.5610000000000004,210.97595730000003,8.324,
286798,2010-05-03,3,1108.93,0,0.0,0.0,0.0,0.0,0.0,48.61,2.625,211.0067542,8.324,
286833,2010-12-03,3,826.92,0,0.0,0.0,0.0,0.0,0.0,57.1,2.667,211.03755099999998,8.324,
286859,2010-03-19,3,511.73,0,0.0,0.0,0.0,0.0,0.0,54.68,2.72,210.8733316,8.324,
286913,2010-03-26,3,715.4,0,0.0,0.0,0.0,0.0,0.0,51.66,2.7319999999999998,210.6766095,8.324,
286964,2010-02-04,3,827.23,0,0.0,0.0,0.0,0.0,0.0,64.12,2.719,210.4798874,8.2,
287012,2010-09-04,3,965.95,0,0.0,0.0,0.0,0.0,0.0,65.74,2.77,210.2831653,8.2,
287061,2010-04-16,3,940.81,0,0.0,0.0,0.0,0.0,0.0,67.87,2.8080000000000003,210.1495463,8.2,
287105,2010-04-23,3,816.38,0,0.0,0.0,0.0,0.0,0.0,64.21,2.795,210.1000648,8.2,
287154,2010-04-30,3,819.61,0,0.0,0.0,0.0,0.0,0.0,66.93,2.78,210.0505833,8.2,
287214,2010-07-05,3,866.58,0,0.0,0.0,0.0,0.0,0.0,70.87,2.835,210.00110180000001,8.2,
287272,2010-05-14,3,729.5,0,0.0,0.0,0.0,0.0,0.0,73.08,2.8539999999999996,209.9984585,8.2,
287331,2010-05-21,3,707.81,0,0.0,0.0,0.0,0.0,0.0,74.24,2.826,210.2768443,8.2,
287371,2010-05-28,3,617.07,0,0.0,0.0,0.0,0.0,0.0,80.94,2.759,210.5552301,8.2,
287442,2010-04-06,3,633.1,0,0.0,0.0,0.0,0.0,0.0,82.68,2.705,210.833616,8.2,
287480,2010-11-06,3,519.78,0,0.0,0.0,0.0,0.0,0.0,83.51,2.668,211.1120018,8.2,
287536,2010-06-18,3,514.36,0,0.0,0.0,0.0,0.0,0.0,86.18,2.637,211.10965430000002,8.2,
287576,2010-06-25,3,466.44,0,0.0,0.0,0.0,0.0,0.0,87.01,2.653,210.9950134,8.2,
287615,2010-02-07,3,518.38,0,0.0,0.0,0.0,0.0,0.0,82.29,2.6689999999999996,210.8803726,8.099,
287672,2010-09-07,3,425.48,0,0.0,0.0,0.0,0.0,0.0,81.67,2.642,210.76573169999998,8.099,
287691,2010-07-16,3,523.92,0,0.0,0.0,0.0,0.0,0.0,85.61,2.623,210.7577954,8.099,
287739,2010-07-23,3,648.13,0,0.0,0.0,0.0,0.0,0.0,87.17,2.608,210.8921319,8.099,
287789,2010-07-30,3,546.62,0,0.0,0.0,0.0,0.0,0.0,83.59,2.64,211.0264684,8.099,
287842,2010-06-08,3,632.82,0,0.0,0.0,0.0,0.0,0.0,90.3,2.627,211.16080490000002,8.099,
287886,2010-08-13,3,714.28,0,0.0,0.0,0.0,0.0,0.0,89.65,2.6919999999999997,211.2951413,8.099,
287935,2010-08-20,3,951.25,0,0.0,0.0,0.0,0.0,0.0,89.58,2.6639999999999997,211.25965860000002,8.099,
287990,2010-08-27,3,1819.73,0,0.0,0.0,0.0,0.0,0.0,86.2,2.6189999999999998,211.2241759,8.099,
288028,2010-03-09,3,1070.62,0,0.0,0.0,0.0,0.0,0.0,82.57,2.577,211.1886931,8.099,
288078,2010-10-09,3,637.47,1,0.0,0.0,0.0,0.0,0.0,79.3,2.565,211.15321040000003,8.099,
288165,2010-09-17,3,856.0,0,0.0,0.0,0.0,0.0,0.0,83.03,2.582,211.1806415,8.099,
288200,2010-09-24,3,752.99,0,0.0,0.0,0.0,0.0,0.0,80.79,2.6239999999999997,211.2552578,8.099,
288255,2010-01-10,3,755.67,0,0.0,0.0,0.0,0.0,0.0,70.28,2.603,211.3298742,8.163,
