week,sales,Temperature,Fuel_Price,CPI,Unemployment,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,oosInd,holInd,promoInd1,promoInd2,promoInd3,promoInd4,promoInd5,corrected_sales,woy,month,year,corrected_Temperature,corrected_Fuel_Price,corrected_CPI,corrected_Unemployment
2012-09-10,555.68,76.1,3.717,222.2174395,6.565,1085.92,0.0,29.23,0.0,2115.61,0,0,1,0,1,0,1,555.68,37,9,2012,75.98308178784056,3.6171840679428224,222.62953282545806,6.053956102185944
2012-09-17,755.57,71.54,3.721,222.4169362,6.565,1046.34,0.0,0.0,69.2,1258.49,0,0,1,0,0,1,1,755.57,38,9,2012,72.60098958202222,3.3982791672245045,221.60206939252666,7.37015864732842
2012-09-24,543.55,80.38,3.666,222.6164329,6.565,212.08,0.0,0.0,0.0,1525.32,0,0,1,0,0,0,1,543.55,39,9,2012,78.71044952674993,3.643339520287659,223.56333577694946,7.167952794431581
2012-10-01,730.76,46.52,3.409,219.9049073,7.057,2098.64,4.0,52.55,0.0,1923.82,0,1,1,1,1,0,1,730.76,40,10,2012,46.732669797779636,3.6869951591095416,219.424730052354,7.570064894807431
2012-10-08,1040.45,89.57,3.494,221.5954138,6.565,971.97,0.0,1.03,52.96,2168.04,0,0,1,0,1,1,1,1040.45,41,10,2012,88.8498384975494,3.7697353663937685,219.14951526727225,7.463972161604982
2012-10-15,708.15,68.52,3.594,223.0598077,6.17,37.11,0.0,0.15,0.0,1030.33,0,0,1,0,1,0,1,708.15,42,10,2012,70.07367715090562,3.9859666349218545,221.838704667275,6.707989467068296
2012-10-22,628.68,70.5,3.506,223.0783366,6.17,150.46,1.75,0.0,0.0,367.83,0,0,1,1,0,0,1,628.68,43,10,2012,71.32924992997926,5.150512725092371,224.27666602024402,5.270838348929748
2012-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,741.4853243518664,44,10,2012,70.46338155201921,2.5833971719512854,222.4720693358311,7.064294421222571
2012-11-05,717.23,74.14,3.688,221.3632212,6.891,701.89,0.0,2.28,0.0,1487.23,0,0,1,0,1,0,1,717.23,45,11,2012,73.88283676980528,4.302590377984535,222.71290180374245,6.9188794731061725
2012-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,732.9959608287132,46,11,2012,72.26995218270473,3.2889034203883813,222.46248620618692,6.564953257948303
2012-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,732.9959608287132,47,11,2012,73.06011883013593,3.8540033101044506,223.3301129167842,5.633520946138592
2012-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,732.9959608287132,48,11,2012,70.74780732162145,3.327931792663832,223.66371402990524,5.980745853479342
2012-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,732.9959608287132,49,12,2012,73.48531986084355,1.9252452114773502,221.60494237407127,6.8910584192098465
2012-12-10,553.78,61.53,3.6010000000000004,223.01542630000003,6.17,15.88,0.0,5.2,0.0,3374.4,0,0,1,0,1,0,1,553.78,50,12,2012,60.15507914139358,4.339803444060452,222.62218574883957,6.137664192291441
