week,sales,Temperature,Fuel_Price,CPI,Unemployment,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,oosInd,holInd,promoInd1,promoInd2,promoInd3,promoInd4,promoInd5,corrected_sales
2010-01-04,1269.97,70.28,2.603,211.3298742,8.163,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1269.97
2010-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1269.97
2010-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1269.97
2010-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1269.97
2010-02-01,5023.110000000001,73.20500000000001,2.694,210.68013,8.1495,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1269.97
2010-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1269.97
2010-02-15,1288.46,39.75,2.514,210.9451605,8.324,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1288.46
2010-02-22,1288.44,45.31,2.5610000000000004,210.97595730000003,8.324,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1288.44
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1280.677497525277
2010-03-08,2854.38,66.5,2.6425,211.22711805,8.131,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2854.38
2010-03-15,2180.46,54.68,2.72,210.8733316,8.324,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2180.46
2010-03-22,1343.85,51.66,2.732,210.6766095,8.324,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1343.85
2010-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1740.3046101693508
2010-04-05,3943.97,82.68,2.705,210.833616,8.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3943.97
2010-04-12,2301.3,67.87,2.8080000000000003,210.1495463,8.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2301.3
2010-04-19,1184.01,64.21,2.795,210.1000648,8.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1184.01
2010-04-26,3304.23,52.99,2.676,210.4015943,8.262,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3304.23
2010-05-03,1730.18,48.61,2.625,211.0067542,8.324,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1730.18
2010-05-10,3571.35,65.895,2.7715,210.8059819,8.1815,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3571.35
